,0,1,2,3,4,5,6,7,Target,Position_right,Position_top
Coffeecup-100_470-top-6,-21.3425,12.255,-21.7625,10.0725,-21.715,12.8875,2.79,0.0625,Coffeecup,0,1
Coffeecup-100_470-top-7,-20.6375,13.29,-21.6225,10.2175,-21.7675,12.245,2.8675,0.03,Coffeecup,0,1
Coffeecup-100_470-top-8,-20.5025,16.9775,-21.13,10.415,-21.7025,17.195,2.8175,0.04,Coffeecup,0,1
Coffeecup-100_470-top-9,-20.8575,16.425,-21.7675,11.235,-22.035,11.5525,2.77,0.075,Coffeecup,0,1
Coffeecup-100_843-back-0,-20.54,22.475,-20.1475,23.39,-20.5625,22.55,0.5975,0.075,Coffeecup,0,0
Coffeecup-100_843-back-1,-20.525,22.6675,-20.185,23.1275,-21.0175,23.215,0.5675,0.1025,Coffeecup,0,0
Coffeecup-100_843-back-2,-20.6725,22.585,-20.205,24.6425,-20.675,22.735,0.535,0.055,Coffeecup,0,0
Coffeecup-100_843-back-3,-20.625,23.185,-20.175,23.1425,-21.0825,23.235,0.545,0.0225,Coffeecup,0,0
Coffeecup-100_843-back-4,-20.93,22.795,-20.1825,22.56,-21.0975,23.115,0.6075,0.01,Coffeecup,0,0
Coffeecup-100_843-back-5,-20.2325,21.605,-20.2675,23.9575,-20.73,22.415,0.595,0.02,Coffeecup,0,0
Coffeecup-100_843-back-6,-20.78,22.68,-20.22,22.5925,-20.7875,22.2175,0.4775,0.0875,Coffeecup,0,0
Coffeecup-100_843-back-7,-20.405,22.8625,-20.2525,23.845,-20.675,22.635,0.565,0.0825,Coffeecup,0,0
Coffeecup-100_843-back-8,-20.655,22.8,-20.1375,23.0575,-20.72,22.365,0.4775,0.06,Coffeecup,0,0
Coffeecup-100_843-back-9,-21.2675,22.9225,-20.205,22.755,-20.86,21.93,0.575,0.0375,Coffeecup,0,0
Coffeecup-100_843-right-0,-22.2325,9.8725,-21.8875,10.1325,-22.2525,13.4875,0.5625,0.065,Coffeecup,1,0
Coffeecup-100_843-right-1,-22.955,11.435,-21.9325,10.62,-22.18,13.525,0.49,0.06,Coffeecup,1,0
