,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,Target
Cheez-150_432-right-2,-24.0,1.0,-25.0,0.0,-24.0,0.0,1.0,0.0,1.0,17.0,0.0,26.0,-4.0,16.0,0.0,0.0,0.0,19.0,0.0,27.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-right-3,-23.0,0.0,-23.0,0.0,-25.0,0.0,1.0,0.0,0.0,17.0,0.0,23.0,-3.0,16.0,1.0,0.0,0.0,19.0,0.0,26.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-right-4,-24.0,0.0,-22.0,0.0,-25.0,0.0,1.0,0.0,0.0,18.0,-1.0,26.0,-4.0,16.0,1.0,0.0,0.0,20.0,0.0,27.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-right-5,-23.0,0.0,-17.0,0.0,-24.0,0.0,1.0,0.0,-1.0,21.0,0.0,23.0,-4.0,17.0,1.0,0.0,-1.0,23.0,0.0,25.0,-4.0,17.0,1.0,0.0,Cheez
Cheez-150_432-right-6,-25.0,0.0,-24.0,0.0,-25.0,0.0,1.0,0.0,-1.0,17.0,0.0,21.0,-3.0,17.0,1.0,0.0,0.0,23.0,0.0,23.0,-3.0,17.0,0.0,0.0,Cheez
Cheez-150_432-right-7,-24.0,0.0,-24.0,0.0,-25.0,0.0,1.0,0.0,-1.0,18.0,0.0,24.0,-3.0,16.0,1.0,0.0,0.0,19.0,0.0,26.0,-3.0,17.0,0.0,0.0,Cheez
Cheez-150_432-right-8,-24.0,0.0,-24.0,0.0,-24.0,0.0,1.0,0.0,-1.0,21.0,0.0,24.0,-3.0,16.0,1.0,0.0,-1.0,22.0,0.0,26.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-right-9,-23.0,0.0,-24.0,0.0,-24.0,0.0,1.0,0.0,0.0,19.0,0.0,24.0,-4.0,16.0,1.0,0.0,-1.0,20.0,0.0,26.0,-4.0,16.0,5.0,0.0,Cheez
Cheez-150_432-top-0,-18.0,-1.0,-18.0,0.0,-23.0,0.0,1.0,0.0,-3.0,11.0,0.0,26.0,-3.0,14.0,1.0,0.0,-2.0,12.0,0.0,28.0,-4.0,14.0,1.0,0.0,Cheez
Cheez-150_432-top-1,-17.0,-1.0,-15.0,2.0,-21.0,0.0,1.0,0.0,-5.0,14.0,-1.0,24.0,-3.0,16.0,1.0,0.0,-5.0,15.0,-1.0,26.0,-3.0,15.0,1.0,0.0,Cheez
Cheez-150_432-top-2,-22.0,1.0,-24.0,0.0,-24.0,0.0,1.0,0.0,-2.0,14.0,0.0,23.0,-3.0,16.0,1.0,0.0,-3.0,16.0,0.0,25.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-top-3,-13.0,-1.0,-16.0,0.0,-21.0,0.0,1.0,0.0,-2.0,13.0,0.0,27.0,-4.0,15.0,1.0,0.0,-1.0,16.0,0.0,31.0,-6.0,16.0,1.0,0.0,Cheez
Cheez-150_432-top-4,-20.0,0.0,-23.0,0.0,-24.0,0.0,1.0,0.0,-2.0,15.0,0.0,20.0,-1.0,16.0,1.0,0.0,-2.0,15.0,0.0,22.0,-3.0,16.0,1.0,0.0,Cheez
Cheez-150_432-top-5,-22.0,1.0,-22.0,0.0,-24.0,0.0,1.0,0.0,-1.0,16.0,0.0,24.0,-3.0,16.0,1.0,0.0,-2.0,17.0,0.0,26.0,-3.0,15.0,1.0,0.0,Cheez
Cheez-150_432-top-6,-22.0,0.0,-23.0,0.0,-23.0,0.0,1.0,0.0,-2.0,16.0,0.0,24.0,-3.0,16.0,1.0,0.0,-1.0,12.0,0.0,26.0,-4.0,15.0,1.0,0.0,Cheez
Cheez-150_432-top-7,-18.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-1.0,16.0,0.0,25.0,-3.0,16.0,1.0,0.0,-4.0,20.0,0.0,28.0,-4.0,15.0,1.0,0.0,Cheez
Cheez-150_432-top-8,-16.0,0.0,-18.0,0.0,-23.0,0.0,1.0,0.0,0.0,14.0,-1.0,23.0,-3.0,17.0,1.0,0.0,-1.0,16.0,-1.0,25.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_432-top-9,-22.0,0.0,-24.0,0.0,-25.0,0.0,1.0,0.0,-1.0,13.0,0.0,24.0,-4.0,16.0,1.0,0.0,-1.0,16.0,0.0,26.0,-6.0,16.0,1.0,0.0,Cheez
Cheez-150_50-right-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-right-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_50-top-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez
Cheez-150_814-right-0,-25.0,0.0,-23.0,0.0,-25.0,0.0,1.0,1.0,-2.0,17.0,-4.0,25.0,-3.0,16.0,1.0,0.0,-1.0,20.0,-4.0,26.0,-4.0,16.0,1.0,0.0,Cheez
Cheez-150_814-right-1,-23.0,0.0,-20.0,0.0,-25.0,0.0,1.0,1.0,-2.0,21.0,-1.0,20.0,-4.0,15.0,1.0,1.0,5.0,52.0,3.0,47.0,4.0,57.0,1.0,0.0,Cheez
Cheez-150_814-right-2,-23.0,0.0,-20.0,0.0,-24.0,0.0,1.0,0.0,-2.0,24.0,0.0,24.0,-4.0,14.0,0.0,0.0,-2.0,24.0,-1.0,26.0,-6.0,14.0,1.0,0.0,Cheez
